"","Taxon","Scenario","Nutrients","TotalG"
"1","japon","fluctuations","high",0.02954
"2","bohem","low","low",0.03146
"3","japon","fluctuations","high",0.0319
"4","japon","high","high",0.03409
"5","bohem","low","low",0.03597
"6","japon","extreme","high",0.03956
"7","japon","low","low",0.04171
"8","japon","extreme","high",0.04172
"9","japon","low","low",0.04181
"10","bohem","gradual","high",0.04247
"11","japon","low","low",0.04268
"12","bohem","low","low",0.04328
"13","bohem","low","low",0.04346
"14","bohem","low","low",0.04461
"15","bohem","low","low",0.04465
"16","japon","extreme","high",0.04523
"17","bohem","high","high",0.04534
"18","japon","low","low",0.04589
"19","bohem","low","low",0.04592
"20","bohem","gradual","high",0.04618
"21","japon","gradual","high",0.04663
"22","japon","gradual","high",0.0475
"23","bohem","fluctuations","high",0.04788
"24","bohem","extreme","high",0.04813
"25","bohem","extreme","high",0.04819
"26","japon","low","low",0.04827
"27","bohem","low","low",0.04898
"28","bohem","gradual","high",0.04899
"29","japon","fluctuations","high",0.04912
"30","bohem","extreme","high",0.04913
"31","bohem","high","high",0.04955
"32","japon","gradual","high",0.04975
"33","japon","fluctuations","high",0.04978
"34","japon","low","low",0.05022
"35","japon","extreme","high",0.05028
"36","bohem","fluctuations","high",0.05031
"37","bohem","fluctuations","high",0.05051
"38","japon","fluctuations","high",0.05073
"39","bohem","fluctuations","high",0.05142
"40","bohem","gradual","high",0.05201
"41","bohem","low","low",0.05227
"42","bohem","extreme","high",0.05246
"43","japon","high","high",0.05266
"44","japon","low","low",0.05353
"45","japon","high","high",0.05356
"46","japon","gradual","high",0.05371
"47","bohem","high","high",0.05406
"48","japon","high","high",0.05409
"49","bohem","gradual","high",0.05436
"50","bohem","fluctuations","high",0.05483
"51","japon","gradual","high",0.05496
"52","japon","extreme","high",0.05504
"53","japon","high","high",0.05527
"54","japon","extreme","high",0.05535
"55","bohem","low","low",0.05536
"56","japon","low","low",0.05542
"57","bohem","gradual","high",0.05578
"58","japon","fluctuations","high",0.05611
"59","bohem","fluctuations","high",0.05612
"60","bohem","gradual","high",0.05634
"61","bohem","extreme","high",0.0564
"62","bohem","high","high",0.0567
"63","bohem","gradual","high",0.05718
"64","japon","extreme","high",0.0572
"65","japon","high","high",0.05721
"66","bohem","high","high",0.0575
"67","japon","low","low",0.05766
"68","japon","extreme","high",0.0578
"69","bohem","fluctuations","high",0.05813
"70","japon","extreme","high",0.05842
"71","japon","gradual","high",0.05845
"72","japon","high","high",0.05857
"73","japon","extreme","high",0.05878
"74","bohem","low","low",0.05897
"75","japon","low","low",0.05902
"76","bohem","low","low",0.05913
"77","bohem","low","low",0.05969
"78","japon","high","high",0.05988
